u,y(alpha=0.1),y(alpha=0.2),y(alpha=0.30000000000000004),y(alpha=0.4),y(alpha=0.5),y(alpha=0.6),y(alpha=0.7000000000000001),y(alpha=0.8),y(alpha=0.9),y(alpha=1.0)
1.6999999999999584,1.6999999978150446,1.6999790938280481,1.6994707593745613,1.6970872293122183,1.6914153506462324,1.6816063958857765,1.667278894684059,1.6483100774868207,1.6246948019153291,1.5964667807494666
1.799999999999958,1.7999999978150443,1.7999790938276248,1.799470757194059,1.7970870696475754,1.7914133018724634,1.781595624547105,1.7672453733390838,1.7482359515750023,1.7245665933983108,1.6962850494727817
1.8999999999999577,1.899999997815044,1.8999790938179215,1.899470738698063,1.8970862489873728,1.891405432628225,1.8815610396591196,1.867148887149863,1.8480348000876687,1.8242240402559953,1.7957840336686552
1.9999999999999574,1.9999999978150433,1.9999790937101016,1.9994706442746888,1.9970834142968754,1.991383811083066,1.98147878471053,1.9669398966992555,1.9476241491785529,1.9235473875155564,1.8948038120873176
2.099999999999957,2.099999997815043,2.099979092951605,2.099470292708819,2.0970757413140957,2.0913352966709233,2.081315083906105,2.066555956825149,2.0469092735301144,2.0224097810184833,1.993187554078903
2.1999999999999567,2.1999999978150426,2.199979089050954,2.19946923620534,2.1970581182135507,2.1912402224890055,2.1810255124315945,2.1659224330653113,2.145785318071761,2.1206798002719025,2.0907824964289254
2.2999999999999563,2.2999999978150383,2.2999790730744594,2.299466516280839,2.297022148256507,2.291071095495186,2.2805544372155993,2.2649532247911033,2.24413905848437,2.2182234179072085,2.1874408654010806
2.399999999999956,2.3999999978149944,2.3999790180078753,2.399460285792841,2.396954973838889,2.3907913270635843,2.3798346188203108,2.363551544827213,2.341850493231117,2.3149056651389026,2.283020732566625
2.4999999999999556,2.4999999978146037,2.4999788522107638,2.499447258378016,2.496837926504461,2.4903540112483347,2.478786978707376,2.4616107852250044,2.438794354666196,2.41059211563488,2.3773867944867204
2.5999999999999552,2.5999999978118,2.5999784044523824,2.5994219429752894,2.596645010855492,2.5897007734889703,2.577320543292303,2.5590154872240776,2.5348415806222673,2.5051502372159016,2.47041106798345
2.699999999999955,2.699999997794889,2.699977298531583,2.699375618078097,2.6963412352307428,2.6887607182825395,2.6753325797864282,2.6556424251052078,2.6298607639967715,2.5984506326542856,2.561973494532044
